ステージ,開始時テキスト,説明文,正解,成功,失敗
1,搭乗時間に間に合わないよ…,○○○○を呼ぼう！,タクシー,"「どちらまでですか？」なんとか間に合いそう！",乗るはずだった飛行機が…
2,怪獣を倒せ！,アルテマウーマンに○○○○だ！,ヘンシン,変身して怪獣を倒した！,変身に失敗して負けちゃった…
3,2の平方根といえば？,ひとよひとよに…○○○○○,ヒトミゴロ,やったー！私天才かも！？,絶対怒られる～！
4,「焼き加減はいかがなさいますか？」,よく焼いて貰おう！○○○○○で！,ウエルダン,美味そう??！,焦げてるじゃん、パンまで焦げてる…
5,作業開始だ！,今日も一日○○○○○に！,ゴアンゼン,予定通り出荷できた！,"爆発だーーー！怪我人は出なかったが納品は大幅に遅れた…"
6,ご注文は？,挽肉を焼いたあの料理！○○○○○,ハンバーグ,これこれ、これが食べたかった！,"これハンバーグじゃなくて半ライスじゃねーか！"
7,サメだ！,サメの弱点は○○○○○○器官！,ロレンチー二,"渾身のパンチがサメの鼻先をクリーンヒット！サメは逃げ出した！",………
8,宅配便でーす！,このマークは○○○○○○だな…,テンチムヨウ,綺麗な美術の先生にお茶をご馳走になった,"やっちまった…弁償だなこれ"
9,"今日はこの「片栗粉」と「水」で実験をするよ！","ドロドロの物体に素早く力を加えると起こる現象○○○○○○○",ダイラタンシー,"こうやって素早く足を動かすと…沈まなーい！",うわっ沈む！助けて！
10,"ヘリコプターのパイロット「本部からナパームのお届け物だぜ?！」",ゾンビどもを○○○○○○○だ！,イチモウダジン,ゾンビは全て焼き払われた！,"バリバリバリ！ドカーン！雷がヘリコプターを直撃した！"
11,"「へへ、逃げ切って見せるぜ！」,「〇〇〇〇〇〇〇〇疎にして漏らさず」",テンモウカイカイ,"「悪人は絶対に逃しません！」「くそ、あと少しだったのに！」",男は某国に逃げ、暗黒街の帝王にのぼりつめた…
12,"状況証拠ではあの女が犯人で間違いないのに…",○○○○○○○○さえあれば…,ブッテキショウコ,"捜査員と科捜研の頑張りで物的証拠を押さえた！","捜査は難航し、容疑者は海外に逃亡捜査本部は解散した…"
13,ハァハァ、喉が渇いた…,絶体に欠かせない！○○○○○○○○,スイブンホキュウ,優勝～！！,み…みず…
14,"新人アイドルへインタビュー記者「あなたの理想のアイドル像は？」",歌もダンスも！○○○○○○○○,ウタッテオドレル,無双で至高のアイドルになれた！,変な仕事しかこないよ～！
15,リビングに幽霊が！,"はらいたまえ！きよめたまえ！○○○○○○○○○",オンリョウタイサン,幽霊「イヤァアアア…」,幽霊「ざぁこ」
16,おおっと！！虎だァァ！？,○○○○を探せ！,マタタビ,"近くにオニマタタビが自生していて助かった！","「ガブッ」ああああ……"
17,"先輩が怖い顔でニラんでいる…仕事のミスがバレたようだ",先輩の好物といえば○○○○だ！,スイーツ,"「しょうがないなぁ今回だけだぞ！」ケーキで許してもらった。","言い訳したら火に油を注いでしまった…\nこの後メチャメチャ怒られた…"
18,"老舗の旅館…なんだか、寝苦しいな","もしや、古い家に憑く子供の妖怪○○○○○○！？",ザシキワラシ,"ちょっとビックリしたけど…良い事あるかも！","ぎゃああああ！！出たああああっ！！"
19,待ち合わせに大幅に遅れてしまった…,○○○○○○を買ってあげよう。,ブランドヒン,"痛い出費だったが機嫌がなおって良かった！","言い訳に失敗…フられてしまった…"
20,"このテストが終わったらめちゃくちゃ遊ぶんだ…！","でも○○○○を取っちゃうと遊びに行けない",アカテン,友達とめちゃくちゃ遊んだ！,赤点で補習だよぅ…
21,まずい、敵に囲まれた！,今こそ必殺の○○○○○を使う時！,ニンジュツ,喰らえ！爆熱火炎陣！,敵に捕まってしまった…
22,"明日は遠足だ！楽しみだな?",雨が降らないように○○○○○○○を作ろう！,テルテルボウス,やった晴れた！遠足だーーー！,雨で延期だって…
23,明日は大事なプレゼン、遅刻は厳禁…,○○○○をセットしよう！,メザマシ,スッキリ起きれてプレゼンも大成功！,寝坊した！大遅刻だよ?
24,"赤信号か…この時間に通る車なんてほとんどないのにな…","早く帰りたいが…やはり○○○○○○○○か",アンゼンウンテン,「パパ、おかえりなさい」,"「次のニュースです、本日午後11時ごろ国道の交差点で車二台が衝突する事故が発生しました」"
25,うぇ、弟の工作を壊してしまった…,"私の超絶器用な手先と驚異の○○○○○○を持ってすれば…",キオクリョク,"超絶器用な手先と驚異の記憶力を発揮して完全再生してやったぜ！\n「ねーちゃんすごいや！」","超絶器用な手先と無駄なセンスを発揮して完璧にリメイクしてやったぜ！「なにこれひどい」"
26,ケーキを３等分って難しいのよねぇ," 何か参考になるかな？○○○○○○とか…",トケイノハリ,"時計の針を思い浮かべれば！なんとか上手くいきそう！","こういう３等分じゃダメだよねえ…"
27,"初めて担当する刑事裁判状況証拠では不利だけど","誰か被告人の○○○○を証言してくれないかな…そうすれば勝機があるのに",アリバイ,"なんと検察側の証人が被告人のアリバイを証明、別の容疑者のアリバイも崩れて逆転大勝利！",負けちゃった…
28,お腹空いた?,でも今は○○○○○中だから、ガマンしなきゃ…,ダイエット,我慢したおかげで理想体重達成！,太っちゃった…
29,ん？なんだこれ,これはもしや金の○○○○○！？,"インゴット","金のインゴット金の延べ棒だ！！","見つけたのはインゴットならぬ「I’m god.」な仮面だった"
30,"どうしよう鳩を仕込むの忘れちゃった…","マジックより○○○○○○○の方が得意なんだけど",サイミンジュツ,これならお客さんも大満足だよね！,"「は、鳩でーす…」…劇場に呼ばれなくなっちゃった"
